rsi_buy,rsi_sell,sl_fast_pct,trades,total_return_pct,cagr_pct,winrate_pct,profit_factor,expectancy_pct_per_trade,max_drawdown_pct,avg_win_pct,avg_loss_pct
52,59,2.0,111,63.40727560114845,10.339324499886748,22.52252252252252,1.3731226214579686,0.5781719900069429,-25.54478909037413,9.44708363563083,-2.0000000000000013
50,57,2.0,109,53.11311604537452,8.910172553193751,24.770642201834864,1.3374924771275642,0.5077868463203723,-24.635805852509773,8.124028379589653,-2.000000000000001
50,59,2.0,105,50.56723583667113,8.544910835081087,21.904761904761905,1.3351746786490644,0.523510926651872,-24.635805852509783,9.52037596949768,-2.000000000000001
50,58,2.0,107,49.10523829933746,8.332917695304864,23.364485981308412,1.3237429813845263,0.49620419576693797,-24.635805852509773,8.683753957882496,-2.000000000000001
50,56,2.0,110,47.46681639199686,8.093358247270777,25.454545454545453,1.3118885138936291,0.46499742071413835,-24.635805852509808,7.683918438519832,-2.000000000000001
52,58,2.0,113,45.75123742189624,7.840225395300648,23.893805309734514,1.296397350217352,0.45115348882641215,-24.659107004605897,8.258531268051284,-2.0000000000000013
52,57,2.0,116,42.92775639406541,7.418386059488125,25.0,1.2785357260363464,0.41780358905451964,-25.38359808175751,7.671214356218082,-2.000000000000001
52,59,2.5,99,42.51955680120836,7.356849295925172,25.252525252525253,1.2762478157055337,0.5162206657123622,-28.237556893898564,9.44423383622096,-2.5000000000000027
51,57,2.0,115,42.193426013805976,7.307583176123278,24.347826086956523,1.2763396976175432,0.41811397726480504,-25.383598081757498,7.931539549480452,-2.0000000000000013
52,60,2.0,107,41.26165955094556,7.1663286566597595,20.5607476635514,1.2927737243862019,0.46515451537994695,-34.22517971048281,9.989615142984292,-2.000000000000001
51,59,2.0,111,40.524269608594835,7.054012270761301,21.62162162162162,1.2771192369467625,0.43440312818681726,-27.033893308566604,9.259114467864034,-2.0000000000000013
49,59,2.0,100,40.31524726359952,7.02208907814057,21.0,1.3001876909713004,0.47429655173465457,-24.635805852509773,9.78236453206979,-2.0000000000000013
49,57,2.0,103,39.74819718730378,6.935293741917969,23.300970873786408,1.2897391963337967,0.44445430117223234,-24.635805852509797,8.490783042530834,-2.0000000000000013
52,59,3.5,77,38.81445204690044,6.791754689157314,32.467532467532465,1.2696853692128263,0.6374381454121354,-25.87337748861893,9.243309487869382,-3.500000000000002
51,58,2.0,113,38.471381276733,6.738822497257568,23.008849557522122,1.2633804027792777,0.40555920427959563,-24.659107004605886,8.454930387830556,-2.0000000000000013
50,55,2.0,110,36.78808707294581,6.477578018229058,25.454545454545453,1.2629532319249048,0.39203936396076716,-24.635805852509808,7.397297501274446,-2.000000000000001
52,56,2.0,117,35.96251541399014,6.348509968334115,25.64102564102564,1.2474130883631738,0.36794766987343785,-25.73374302309589,7.2349959125064105,-2.000000000000001
51,56,2.0,116,35.26397086138613,6.238810670305939,25.0,1.244902643593534,0.3673539653903012,-25.733743023095922,7.469415861561209,-2.0000000000000013
52,59,3.0,87,34.29546887515258,6.085965403238447,28.735632183908045,1.2430106492472286,0.5195400087354547,-28.667547034121753,9.247999230399392,-3.0000000000000036
49,58,2.0,101,33.27612583489963,5.924141566874996,21.782178217821784,1.261140773258163,0.40851724925534405,-24.635805852509797,9.057283735217721,-2.0000000000000013
52,55,2.0,120,32.6584817171385,5.8256065354588715,27.500000000000004,1.2307894607542273,0.33464471809363083,-25.73374302309589,6.489617156704112,-2.000000000000001
52,61,2.0,104,32.57057900082898,5.811553288308446,19.230769230769234,1.2597242834690434,0.41955461175768594,-34.22517971048279,10.58168398113997,-2.000000000000001
49,60,2.0,97,32.32256703029521,5.771862728537958,19.587628865979383,1.270079839655205,0.4343552060434224,-32.49444591754911,10.428023946642739,-2.000000000000001
49,56,2.0,103,31.43972578750871,5.630092833711786,23.300970873786408,1.248293606387098,0.38087757096273295,-24.635805852509808,8.217932908715067,-2.0000000000000013
50,60,2.0,101,29.704736269830455,5.349248506185478,19.801980198019802,1.2481437368302002,0.39801272640091545,-32.88283643926816,10.109964268324626,-2.000000000000001
50,56,3.5,80,28.696311249969497,5.184630625136433,36.25,1.2194419760187971,0.4896299089919412,-25.76296277765584,7.5058756110122555,-3.500000000000002
52,58,2.5,101,27.120421561268373,4.925300914034292,26.732673267326735,1.204914050011555,0.37533761635779905,-25.969643011347443,8.255892564893996,-2.5000000000000027
50,57,3.5,77,26.654873208714513,4.848198123027925,35.064935064935064,1.214425082376999,0.48732973267499835,-25.76296277765582,7.871273682073148,-3.500000000000002
52,60,3.5,72,26.2871164147495,4.787130910250359,30.555555555555557,1.226607535666056,0.5507822047438864,-30.717196952937375,9.757105397343633,-3.500000000000002
51,55,2.0,116,25.46890396573214,4.6507522306254545,25.0,1.198779734151748,0.29816960122762204,-25.73374302309589,7.192678404910493,-2.0000000000000013
50,57,2.5,100,25.176027777907862,4.601763118475821,27.0,1.1961003076849155,0.3578830615249714,-27.281663212928798,8.084752079722126,-2.5000000000000036
50,59,3.5,73,24.54892602818468,4.496559409309708,31.506849315068493,1.2117017295472272,0.5075041461748593,-25.873377488618964,9.219469681337603,-3.500000000000002
52,57,2.5,104,24.021845706436217,4.407807349617121,27.884615384615387,1.1861011805070794,0.33551895524112885,-27.281663212928798,7.668757632588883,-2.5000000000000027
52,60,2.5,95,23.83654815466969,4.376534489042738,23.157894736842106,1.2035971898378688,0.3911209173201171,-36.94371043435511,9.984385779336879,-2.500000000000003
