rsi_buy,rsi_sell,trades,total_return_pct,cagr_pct,winrate_pct,profit_factor,expectancy_pct_per_trade,max_drawdown_pct,avg_win_pct,avg_loss_pct
40,67,18,167.9756017524709,13.74266186850226,83.33333333333334,4.952182084977809,6.001500581780493,-10.56866796051671,9.024034730700663,-9.111170162820356
40,69,15,149.54201974539535,12.688627620874126,73.33333333333333,6.768861986391536,6.720808535814165,-9.559047559423195,10.753395207960397,-4.3688048125879675
32,69,11,141.9978064027814,12.237621981652968,90.9090909090909,36.21786793982829,8.738026366711523,-2.729247840841753,9.884753787466853,-2.729247840841764
42,67,18,134.49712385459014,11.776933811982659,83.33333333333334,3.8237490225827293,5.282941137140494,-15.922409717031293,8.584604728515128,-11.225376819732674
38,67,17,133.5023719166298,11.71487767675612,82.35294117647058,4.492920914431507,5.443295365079356,-10.56866796051671,8.50203342297525,-8.83081557176814
40,63,23,131.11203664659524,11.56481517044472,78.26086956521739,3.576219931043425,3.975036570337069,-14.754272835409754,7.0507893987937,-7.097673612106801
40,65,20,126.50330618062439,11.271635092847387,75.0,3.459871161666139,4.516466621176436,-13.30244788079884,8.470033096991886,-7.344232806269915
40,59,28,126.33189997821054,11.260631553055989,78.57142857142857,3.335034533782003,3.1634799017506343,-17.149982261733353,5.750524493234943,-6.322350267025165
44,67,18,119.78936693861124,10.835114566114568,83.33333333333334,3.5554962545824074,4.887141222250468,-16.669550997232996,8.15945424932721,-11.474423913133242
42,69,15,118.3664689191092,10.741115637893305,73.33333333333333,4.524059496321624,5.8591237090679575,-14.973229508164565,10.256904630918285,-6.234773826020442
40,61,25,116.0071197562051,10.584073244428671,76.0,3.1487046133774768,3.363846332834533,-16.43063373906244,6.486012182303553,-6.523012190484031
32,59,15,114.61763372955022,10.490887540829895,86.66666666666667,6.366436395708039,5.40758333584857,-10.89342466737293,7.402212457551181,-7.557505955218401
34,59,18,109.3052750804448,10.129708982593932,83.33333333333334,5.010113711688719,4.38114518574447,-13.415873542061064,6.568402937009154,-6.555143570578955
40,55,32,107.92145180359918,10.034317523278148,78.125,2.7960557110245237,2.503510966121044,-17.75016173125482,4.988678133467321,-6.372086060115659
38,69,14,105.65890700663934,9.877157353813203,71.42857142857143,5.7675719753339125,5.6550155900441075,-9.559047559423195,9.57762010691041,-4.151495702121652
44,69,15,104.67043337432158,9.808024073652422,73.33333333333333,4.139154597868909,5.3773030396564385,-15.728805517691969,9.66856517349598,-6.423667828402294
38,65,19,103.34303837950873,9.714728771266712,73.68421052631578,3.3765221083221397,4.106715237658995,-13.30244788079884,7.918590668260459,-6.5665359680251045
32,67,11,101.22127383390556,9.564496207944417,81.81818181818183,10.618224302180598,6.813435703677112,-3.977157759841732,9.193340212738981,-3.896134587101302
30,59,13,101.20373895511894,9.563248915679367,84.61538461538461,11.749179831424186,5.656158110105642,-5.953461047375175,7.306416589462727,-3.4202635263583248
42,61,26,99.90018999621377,9.470259065020148,76.92307692307693,2.718003125056596,2.986513632679054,-19.85744639525371,6.142340050919231,-7.532907761454875
32,61,14,98.48371605459238,9.368614039301558,85.71428571428571,7.935569645708412,5.156674295239502,-8.316799238683503,6.883549842898152,-5.204578990712383
42,59,29,98.47973587449165,9.368327537476029,79.3103448275862,2.7422362252626944,2.6402365620254393,-22.109738416293425,5.239753143273198,-7.324576999424305
46,67,19,97.91575542005926,9.327680439132102,78.94736842105263,2.922824140079297,4.053765545681638,-16.669550997232996,7.805200951220856,-10.01411722509043
42,63,23,97.18397265575133,9.274789161830089,78.26086956521739,2.8342803386091044,3.3142547613349964,-19.85744639525371,6.543623643497363,-8.311473214449526
40,57,29,96.99941759913189,9.261423079599297,79.3103448275862,2.7443034056702,2.5644651713498257,-17.75016173125482,5.087179511885917,-7.105939800705191
32,57,15,95.54522595600847,9.155723240090751,86.66666666666667,5.515638615626066,4.744585989795651,-11.538927692887802,6.686869598683572,-7.880257467975838
38,59,25,94.3016584724564,9.06478943442297,80.0,3.140072361443241,2.8809737363829497,-17.149982261733342,5.283972032118068,-6.731019446557527
46,69,16,93.66072768806436,9.017724679575823,75.0,3.3300872494410623,4.630764047030579,-15.728805517691969,8.824189344203456,-7.949511844488053
42,65,20,93.25182011464696,8.987627020997845,75.0,2.748976492808066,3.750397421596051,-18.49253388738147,7.859647737252866,-8.577353525374392
36,69,12,92.32515874624998,8.919214639727912,83.33333333333334,9.366500317917703,5.907650760430286,-6.426253435734242,7.936510219052572,-4.236646532681143
30,67,10,92.11947494668,8.903990823728059,90.0,18.57487464765921,6.989804908318336,-3.9771577598417207,8.208356315891676,-3.9771577598417207
34,69,11,91.76998062216319,8.878090257222793,81.81818181818183,11.012831663713863,6.425936516545612,-5.482810060105914,8.638308152614176,-3.529735845762927
48,67,19,88.96204473440099,8.66849529147995,78.94736842105263,2.7869842446431337,3.783969716490861,-16.669550997232996,7.475216649127329,-10.0582062808959
36,67,14,88.10793135665679,8.604203945496058,85.71428571428571,5.171000278028771,4.84607631112968,-8.79505259606308,7.009247261758457,-8.132949392642974
38,63,20,87.60362717896568,8.566124395131048,75.0,3.185584954572707,3.4541124615762553,-14.754272835409754,6.712691822527441,-6.321625621277304
36,59,21,85.54643045789273,8.409859523584018,80.95238095238095,3.6846638002557888,3.1469259269240615,-14.280131362180914,5.335373835423633,-6.153977684199118
30,61,12,85.06296403280913,8.37291688006292,91.66666666666666,20.87875493785916,5.357308782524749,-3.2339905387062773,6.138335993545751,-3.233990538706266
