rsi_buy,rsi_sell,sl_fast_pct,trades,total_return_pct,cagr_pct,winrate_pct,profit_factor,expectancy_pct_per_trade,max_drawdown_pct,avg_win_pct,avg_loss_pct
52,59,3.0,87,34.29546887515258,6.085965403238447,28.735632183908045,1.2430106492472286,0.5195400087354547,-28.667547034121753,9.247999230399392,-3.0000000000000036
50,57,3.0,87,22.227579043015467,4.103402123425703,31.03448275862069,1.1859637872483415,0.38475266327243074,-28.561294355803536,7.906425248322287,-3.000000000000004
50,56,3.0,91,21.095933559642745,3.9095710949082374,31.868131868131865,1.1753121738921497,0.35833037740593265,-28.561294355803568,7.53820911530828,-3.0000000000000036
50,59,3.0,83,20.19524646119326,3.7542612981974255,27.710843373493976,1.1833462336471332,0.39761833802992796,-28.667547034121753,9.260970524194967,-3.000000000000004
52,58,3.0,89,19.784940399371507,3.6832015441153443,30.337078651685395,1.1724971988394308,0.36049976386667604,-28.46985969119199,8.07720292533831,-3.0000000000000036
51,57,3.0,90,19.245888290142,3.5895481968449383,31.11111111111111,1.1677260104968281,0.3466337550267786,-28.91469333366131,7.757037069728939,-3.0000000000000036
50,58,3.0,85,19.02815885844211,3.5516245145053027,29.411764705882355,1.1733820476813077,0.3671619833251226,-28.469859691191967,8.448350743305426,-3.000000000000004
51,59,3.0,86,17.84610460242597,3.3447631150749,27.906976744186046,1.167965790849197,0.3632748499761706,-28.667547034121753,9.051734879081287,-3.0000000000000036
51,56,3.0,94,16.687535596930548,3.1403952775481025,31.914893617021278,1.1512871354454366,0.3090120213353604,-28.91469333366128,7.368237666850805,-3.0000000000000044
52,57,3.0,92,16.265859244057967,3.065610100946925,31.521739130434785,1.1512124174459348,0.3106429010574105,-28.91469333366131,7.5027292033545505,-3.0000000000000036
51,58,3.0,88,16.12451662500749,3.0404941597306445,29.545454545454547,1.1555501334964726,0.32877641852663564,-28.46985969119199,8.26662787809016,-3.0000000000000036
50,55,3.0,91,11.90322044560903,2.2788725710723545,31.868131868131865,1.1299482110732975,0.2656084314245417,-28.561294355803568,7.24725404343564,-3.0000000000000036
52,56,3.0,97,10.358298137305177,1.9943844413126133,31.958762886597935,1.1186057949264703,0.24210255046846485,-28.91469333366128,7.144643464369079,-3.0000000000000044
49,59,3.0,80,8.581630140484076,1.663257341734825,26.25,1.126309721920716,0.2794602597495838,-28.904719105023315,9.493181941903188,-3.0000000000000036
49,57,3.0,83,8.142823789383824,1.5808080391799262,28.915662650602407,1.1175078032614625,0.2505889298467335,-30.186119365109263,8.241620049053296,-3.0000000000000036
51,55,3.0,94,7.8294756506165575,1.5217677675440022,31.914893617021278,1.1073407964646733,0.21924928639592903,-28.91469333366128,7.08698109737392,-3.0000000000000044
52,55,3.0,100,7.270395073058689,1.4160855755447121,34.0,1.1019147744951954,0.20179125350048738,-28.91469333366128,6.417033098530853,-3.0000000000000044
52,60,3.0,87,6.861792200245342,1.3385690394582817,25.287356321839084,1.1175745419299663,0.26352914570509783,-40.71368190029613,9.905774348924716,-3.0000000000000044
