Date,Equity
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-16,100000.0
2024-09-17,100000.0
2024-09-18,100000.0
2024-09-19,100000.0
2024-09-20,100000.0
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100000.0
2024-10-08,100000.0
2024-10-09,100000.0
2024-10-10,100000.0
2024-10-11,100000.0
2024-10-14,100000.0
2024-10-15,100000.0
2024-10-16,100000.0
2024-10-17,100000.0
2024-10-18,100000.0
2024-10-21,100000.0
2024-10-22,100000.0
2024-10-23,100000.0
2024-10-24,100000.0
2024-10-25,100000.0
2024-10-28,100000.0
2024-10-29,100000.0
2024-10-30,100000.0
2024-10-31,100000.0
2024-11-01,100000.0
2024-11-04,100000.0
2024-11-05,100000.0
2024-11-06,100000.0
2024-11-07,100000.0
2024-11-08,100000.0
2024-11-11,99732.26238286479
2024-11-12,99018.29540383758
2024-11-13,99018.29540383758
2024-11-14,99018.29540383758
2024-11-15,99018.29540383758
2024-11-18,99018.29540383758
2024-11-19,99018.29540383758
2024-11-20,99018.29540383758
2024-11-21,99018.29540383758
2024-11-22,99018.29540383758
2024-11-25,99018.29540383758
2024-11-26,99018.29540383758
2024-11-27,99018.29540383758
2024-11-28,99018.29540383758
2024-11-29,99018.29540383758
2024-12-02,99018.29540383758
2024-12-03,99018.29540383758
2024-12-04,99018.29540383758
2024-12-05,99018.29540383758
2024-12-06,99018.29540383758
2024-12-09,99018.29540383758
2024-12-10,99018.29540383758
2024-12-11,99018.29540383758
2024-12-12,99018.29540383758
2024-12-13,99018.29540383758
2024-12-16,99018.29540383758
2024-12-17,99018.29540383758
2024-12-18,99018.29540383758
2024-12-19,99018.29540383758
2024-12-20,99018.29540383758
2024-12-23,99018.29540383758
2024-12-27,99018.29540383758
2024-12-30,99018.29540383758
2025-01-02,99018.29540383758
2025-01-03,99018.29540383758
2025-01-07,99018.29540383758
2025-01-08,99018.29540383758
2025-01-09,99018.29540383758
2025-01-10,99018.29540383758
2025-01-13,99018.29540383758
2025-01-14,99018.29540383758
2025-01-15,99018.29540383758
2025-01-16,99018.29540383758
2025-01-17,99018.29540383758
2025-01-20,99018.29540383758
2025-01-21,99018.29540383758
2025-01-22,99018.29540383758
2025-01-23,99018.29540383758
2025-01-24,99018.29540383758
2025-01-27,99018.29540383758
2025-01-28,99018.29540383758
2025-01-29,99018.29540383758
2025-01-30,99018.29540383758
2025-01-31,99018.29540383758
2025-02-03,99018.29540383758
2025-02-04,99018.29540383758
2025-02-05,99018.29540383758
2025-02-06,99018.29540383758
2025-02-07,99018.29540383758
2025-02-10,99018.29540383758
2025-02-11,99018.29540383758
2025-02-12,99018.29540383758
2025-02-13,99018.29540383758
2025-02-14,99018.29540383758
2025-02-17,99018.29540383758
2025-02-18,99018.29540383758
2025-02-19,99018.29540383758
2025-02-20,99018.29540383758
2025-02-21,99018.29540383758
2025-02-24,99018.29540383758
2025-02-25,99018.29540383758
2025-02-26,99018.29540383758
2025-02-27,99018.29540383758
2025-02-28,99018.29540383758
2025-03-03,99018.29540383758
2025-03-04,99018.29540383758
2025-03-05,99018.29540383758
2025-03-06,99018.29540383758
2025-03-07,99018.29540383758
2025-03-10,99018.29540383758
2025-03-11,99018.29540383758
2025-03-12,99018.29540383758
2025-03-13,99018.29540383758
2025-03-14,99018.29540383758
2025-03-17,99018.29540383758
2025-03-18,99018.29540383758
2025-03-19,99018.29540383758
2025-03-20,99018.29540383758
2025-03-21,99018.29540383758
2025-03-24,99018.29540383758
2025-03-25,99018.29540383758
2025-03-26,99018.29540383758
2025-03-27,99018.29540383758
2025-03-28,99018.29540383758
2025-03-31,99018.29540383758
2025-04-01,99018.29540383758
2025-04-02,99018.29540383758
