Ticker,Strategy,Start,End,breakout_lookback,exit_lookback,use_trend_filter,trend_ma_window,atr_period,use_atr_momentum,atr_momentum_mult,breakeven_atr_mult,stop_loss_pct,take_profit_pct,trailing_stop_pct,cooldown_days_after_sl,risk_per_trade_pct,Trades,WinRate,PF,AvgRet,TotalReturn,CAGR,MaxDD,SharpeD,YoY_min,YoY_max,YoY_mean,YoY_neg_years
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.15,0.06,0,0.5,25,0.48,1.168797525855914,0.004126463958538123,0.003190943063123175,0.00041628020676576227,-0.0198105940737332,0.05980564340962345,-0.008777760007548818,0.011994106063747623,0.0005780408744703314,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.06,0.15,0.06,0,0.5,27,0.48148148148148145,1.0813654295099429,0.0027997718969817536,0.001503172157929722,0.0001962426685406804,-0.024577590735374133,0.024307272586160805,-0.011789024483307542,0.016934928716048736,0.000407909240417765,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.15,0.08,0,0.5,24,0.4166666666666667,1.0177532516462113,0.0014311632736884832,-0.0013554370324160292,-0.00017717550524276593,-0.02943070868246478,-0.01033151514068276,-0.019270542261020762,0.011848493576844588,-2.1529831870648053e-05,3
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.8,0.0,0.06,0.15,0.06,0,0.5,25,0.44,1.0173440823339805,0.0014601204942034374,-0.0013631267690085158,-0.00017818126287127978,-0.031740988992936425,-0.013946102182524529,-0.014491523037660436,0.016004914440401308,-1.067764538685369e-05,4
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.8,0.0,0.1,0.15,0.06,0,0.5,25,0.44,1.0196313829932577,0.0014601204942034374,-0.0007615311398945224,-9.951757527870697e-05,-0.01914524052086941,-0.014543616041005326,-0.00870599643051484,0.009590687647523577,-1.1867012594257709e-05,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.2,0.06,0,0.5,25,0.48,1.0074884048477597,0.0012191326132390673,-0.0018034188588480493,-0.00023577926970785867,-0.026348192740465293,-0.01867206667938421,-0.011692437126725186,0.016001816618783193,-8.315631236748595e-05,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.2,0.06,14,0.5,25,0.48,1.0093385707400293,0.0012191326132390673,-0.0010403353830991113,-0.0001359684541071271,-0.01587224778807761,-0.019724936595570532,-0.007026257480001408,0.009588831983873058,-5.5142059043444824e-05,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.15,0.1,14,0.5,24,0.4166666666666667,0.9819385255935407,0.0007743488237705829,-0.002668265144465387,-0.00034898081823364624,-0.030706628762124377,-0.02573586522322832,-0.020559818996887858,0.011848493576844588,-0.0002057122227088521,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.15,0.1,0,0.5,24,0.4166666666666667,0.9819385255935407,0.0007743488237705829,-0.002668265144465387,-0.00034898081823364624,-0.030706628762124377,-0.02573586522322832,-0.020559818996887858,0.011848493576844588,-0.0002057122227088521,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.12,0.06,0,0.5,27,0.4444444444444444,0.9855695192242522,0.0008248544207539094,-0.0028474710939437875,-0.00037244813497006035,-0.026348192740465293,-0.03257266150604859,-0.011692437126725075,0.015596951959881977,-0.0002353392388513604,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.06,0.12,0.06,14,0.5,27,0.4444444444444444,0.9855695192242522,0.0008248544207539094,-0.0028474710939437875,-0.00037244813497006035,-0.026348192740465293,-0.03257266150604859,-0.011692437126725075,0.015596951959881977,-0.0002353392388513604,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.12,0.06,14,0.5,27,0.4444444444444444,0.9875067420737926,0.0008248544207539094,-0.0016602415136550697,-0.0002170467130607756,-0.015872247788077054,-0.03345128353000542,-0.007026257480001297,0.009341648729092933,-0.00014479470845123782,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.12,0.06,0,0.5,27,0.4444444444444444,0.9875067420737926,0.0008248544207539094,-0.0016602415136550697,-0.0002170467130607756,-0.015872247788077054,-0.03345128353000542,-0.007026257480001297,0.009341648729092933,-0.00014479470845123782,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.06,0.15,0.08,14,0.5,26,0.4230769230769231,0.9603877966866757,0.0002845384769136769,-0.003989246766640142,-0.0005220517132481506,-0.027665712283881816,-0.03994584324181208,-0.01927054226102065,0.01573767011033711,-0.0003824130431877729,2
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.15,0.08,14,0.5,24,0.4166666666666667,0.9359915396692631,-0.00019017563844540378,-0.002705567040099388,-0.00035386526129432827,-0.019656632414780106,-0.04901352234673519,-0.011593563143233232,0.007103221649466862,-0.00029420860616288395,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.2,0.06,0,0.5,26,0.5,0.9518740744598201,6.253883645291395e-05,-0.002596712578686766,-0.0003396119149431387,-0.014798913925286206,-0.0518036979213438,-0.00925117728183844,0.009588831983873058,-0.0002704973811748263,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.2,0.06,14,0.5,26,0.5,0.9518740744598201,6.253883645291395e-05,-0.002596712578686766,-0.0003396119149431387,-0.014798913925286206,-0.0518036979213438,-0.00925117728183844,0.009588831983873058,-0.0002704973811748263,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.06,0.15,,14,0.5,26,0.4230769230769231,0.9336716330993419,-0.0003217517845490013,-0.0052986124461190665,-0.0006937977641743309,-0.02894395264542704,-0.05494261045165196,-0.02055981899688797,0.01573767011033711,-0.0005665954340259928,2
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.06,0.15,0.1,14,0.5,26,0.4230769230769231,0.9336716330993419,-0.0003217517845490013,-0.0052986124461190665,-0.0006937977641743309,-0.02894395264542704,-0.05494261045165196,-0.02055981899688797,0.01573767011033711,-0.0005665954340259928,2
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.15,,0,0.5,24,0.4166666666666667,0.9048574088138601,-0.0008469900883633063,-0.004388242116583396,-0.0005743660800341388,-0.02548086876335287,-0.06379815203188799,-0.015448560436602032,0.008881780346626567,-0.0005050806771889071,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.08,0.15,0.1,14,0.5,24,0.4166666666666667,0.9048574088138601,-0.0008469900883633063,-0.004388242116583396,-0.0005743660800341388,-0.02548086876335287,-0.06379815203188799,-0.015448560436602032,0.008881780346626567,-0.0005050806771889071,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.8,0.0,0.1,0.15,0.1,0,0.5,24,0.4166666666666667,0.905699316391569,-0.0008469900883633063,-0.003491649153977927,-0.00045683461114720547,-0.020429353450062582,-0.06422803167959625,-0.01237263960809376,0.007103221649466862,-0.000405505244000134,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.12,0.06,14,0.5,29,0.4482758620689655,0.9392295964097483,-0.00018264442705483234,-0.004096552502455553,-0.000536119338112151,-0.018474082262693203,-0.0658311448436616,-0.011290762436651947,0.011684802761546376,-0.0004547856047443233,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.12,0.06,0,0.5,29,0.4482758620689655,0.9399053605744292,-0.00018264442705483234,-0.0032547979061967602,-0.00042580189874685814,-0.014798913925285762,-0.06607867332086016,-0.00903942478376818,0.009341648729092933,-0.0003661533671017895,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.15,0.08,14,0.5,26,0.4230769230769231,0.898317685519881,-0.0012120820573637582,-0.005366088304534888,-0.0007026537190873983,-0.02318941563078558,-0.07684009180502621,-0.014477301538521337,0.01179437702741093,-0.0006383468009453537,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.15,0.08,14,0.5,26,0.4230769230769231,0.8990682372660243,-0.0012120820573637582,-0.004269257710274088,-0.0005587635053949658,-0.018587425971584692,-0.07719646679050457,-0.011593563143233565,0.009431236444050528,-0.0005124739130764214,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.1,0.15,0.08,0,0.5,26,0.4230769230769231,0.8990682372660243,-0.0012120820573637582,-0.004269257710274088,-0.0005587635053949658,-0.018587425971584692,-0.07719646679050457,-0.011593563143233565,0.009431236444050528,-0.0005124739130764214,3
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.5,0.0,0.08,0.15,0.06,14,0.5,26,0.46153846153846156,0.9084457938418907,-0.0009206209430880398,-0.004883039942514489,-0.0006392669325695488,-0.021638725281675764,-0.08285431987802182,-0.009951768438005382,0.011994106063747623,-0.0005680348247606119,3
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.5,0.0,0.08,0.15,0.06,0,0.5,26,0.46153846153846156,0.9084457938418907,-0.0009206209430880398,-0.004883039942514489,-0.0006392669325695488,-0.021638725281675764,-0.08285431987802182,-0.009951768438005382,0.011994106063747623,-0.0005680348247606119,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.2,0.06,0,0.5,27,0.48148148148148145,0.8892919890998625,-0.0012720449360669242,-0.007561373109490344,-0.0009910619767659057,-0.027661165294158963,-0.090320796060737,-0.015372481806706806,0.016001816618783193,-0.0008852540213276797,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,,0,0.5,27,0.4074074074074074,0.8765916270260881,-0.0016421025711058084,-0.008443133079555132,-0.0011070604288158092,-0.03201372395100299,-0.09047995733061186,-0.02055981899688797,0.01573767011033711,-0.0010188106434300761,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,0.1,0,0.5,27,0.4074074074074074,0.8765916270260881,-0.0016421025711058084,-0.008443133079555132,-0.0011070604288158092,-0.03201372395100299,-0.09047995733061186,-0.02055981899688797,0.01573767011033711,-0.0010188106434300761,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,,14,0.5,27,0.4074074074074074,0.8765916270260881,-0.0016421025711058084,-0.008443133079555132,-0.0011070604288158092,-0.03201372395100299,-0.09047995733061186,-0.02055981899688797,0.01573767011033711,-0.0010188106434300761,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.06,0.15,0.1,14,0.5,27,0.4074074074074074,0.8765916270260881,-0.0016421025711058084,-0.008443133079555132,-0.0011070604288158092,-0.03201372395100299,-0.09047995733061186,-0.02055981899688797,0.01573767011033711,-0.0010188106434300761,4
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.08,0.2,0.06,14,0.5,27,0.48148148148148145,0.8901940744877949,-0.0012720449360669242,-0.005633362569723577,-0.0007377376028030458,-0.020801234314955064,-0.09084805420262752,-0.011550961393542392,0.011991785064410898,-0.0006711146356522654,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.3,0.0,0.1,0.2,0.06,14,0.5,27,0.48148148148148145,0.8907374457683446,-0.0012720449360669242,-0.0044885498213383945,-0.0005875208147358979,-0.01666760648890897,-0.09116514972033946,-0.009251177281838219,0.009588831983873058,-0.0005403399614860265,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.15,0.1,0,0.5,26,0.4230769230769231,0.8749125989826056,-0.0018183723188264366,-0.006346326546206149,-0.0008313652773753732,-0.02415208850812156,-0.09166942227819523,-0.01544856043660181,0.01179437702741093,-0.0007770980720996912,3
ASSA B,breakout,2018-01-01,latest,20,10,True,100,14,True,0.5,0.0,0.08,0.15,,0,0.5,26,0.4230769230769231,0.8749125989826056,-0.0018183723188264366,-0.006346326546206149,-0.0008313652773753732,-0.02415208850812156,-0.09166942227819523,-0.01544856043660181,0.01179437702741093,-0.0007770980720996912,3
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.8,0.0,0.06,0.15,0.1,0,0.5,24,0.375,0.8524847980730765,-0.0019979073100258754,-0.008182798851647521,-0.001072803269883682,-0.03606613030111194,-0.09372630347382088,-0.02514677490468009,0.011848493576844588,-0.0009822693176543748,3
ASSA B,breakout,2018-01-01,latest,30,10,True,100,14,True,0.8,0.0,0.06,0.2,0.06,0,0.5,25,0.44,0.8728609843737748,-0.0014472108510956189,-0.007332162031583156,-0.000960923171299477,-0.031740988992936425,-0.09525779588281712,-0.014491523037660548,0.016001816618783193,-0.0008683539853574348,4
