ticker,entry_date,entry_price,exit_date,exit_price,qty,pnl,ret,exit_reason
SEB,2024-11-20,4.51,2024-11-21,4.4,22172.949002217298,-2439.02439024389,-0.0243902439024389,stop_loss
SEB,2024-11-26,6.3,2024-11-27,6.09,15485.869144405731,-3252.032520325203,-0.033333333333333326,stop_loss
SEB,2025-03-25,4.85,2025-03-26,4.275,19445.1429050373,-11180.957170396434,-0.11855670103092769,stop_loss
