Ticker,Name,MIC,Date,Close,Score,RSI,RSI_cross_up,MACD_cross_up,Breakout20,Vol_spike
ORX,Orexo,,2025-09-05,23.35,0.9723,70.42,True,True,True,2.0
SES,Scandinavian Enviro,,2025-09-05,0.999,0.7892,79.19,False,False,True,2.0
NETI B,Net Insight,,2025-09-05,5.05,0.7058,77.93,False,False,True,1.335
AFRY,AFRY,,2025-09-05,152.5,0.5587,61.81,True,True,False,1.013
HM B,Hennes & Mauritz,,2025-09-05,145.55,0.5554,54.16,False,True,True,0.0
JLT,JLT Mobile,,2025-09-05,1.94,0.5143,57.41,True,True,False,1.156
ZENI,Zenicor Medical,,2025-09-05,2.5,0.5,46.43,False,True,False,2.0
NOKIA SEK,Nokia,,2025-09-05,42.65,0.4903,68.95,False,False,True,0.377
BLICK,Blick Global,,2025-09-05,1.11,0.4806,80.34,False,False,False,0.806
ANOD B,Addnode,,2025-09-05,115.0,0.4679,70.09,False,False,True,0.0
NANOC B,NanoCap,,2025-09-05,6.5,0.4609,69.57,False,False,False,2.0
ASSA B,Assa Abloy,,2025-09-05,342.1,0.4488,59.77,False,False,True,1.186
CLEM,Clemondo,,2025-09-05,10.7,0.4456,68.42,False,False,True,0.0
IAR B,I.A.R Systems,,2025-09-05,179.0,0.4222,66.67,False,False,True,0.0
KAPIAB,Kallebäck Property,,2025-09-05,202.0,0.4182,63.64,False,False,True,0.364
HEXA B,Hexagon,,2025-09-05,110.1,0.4117,57.39,True,False,True,1.132
HEART,Scandinavian Real Heart,,2025-09-05,19.25,0.4,83.7,False,False,False,0.0
INDT,Indutrade,,2025-09-05,236.2,0.3976,52.82,True,True,False,0.6
NOLA B,Nolato,,2025-09-05,59.65,0.3928,64.46,False,False,True,0.0
DMYD B,Diamyd Medical,,2025-09-05,12.14,0.3867,64.0,False,False,True,0.0
EAST,Eastnine,,2025-09-05,46.8,0.3833,56.25,True,True,False,0.0
ATCO A,Atlas Copco A,,2025-09-05,155.8,0.3742,62.36,False,False,True,0.094
HIFA B,Hifab,,2025-09-05,3.32,0.3733,54.29,True,False,True,1.162
CNCJO B,Concejo B,,2025-09-05,50.6,0.3659,77.44,False,False,False,0.0
TREL B,Trelleborg,,2025-09-05,369.8,0.3639,62.29,False,False,True,0.0
TELIA,Telia Company,,2025-09-05,35.8,0.3625,54.69,False,True,False,0.0
BIOG B,BioGaia,,2025-09-05,104.1,0.3317,74.87,False,False,False,0.0
HUFV A,Hufvudstaden A,,2025-09-05,124.0,0.3255,65.06,False,False,False,1.247
SAND,Sandvik,,2025-09-05,241.8,0.3224,58.31,True,False,True,0.117
HANZA,Hanza,,2025-09-05,115.6,0.3223,51.72,True,False,True,0.993
AXIC A,aXichem,,2025-09-05,3.91,0.3111,73.33,False,False,False,0.0
DORO,Doro,,2025-09-05,40.0,0.3091,38.18,False,True,False,0.091
MEKO,MEKO,,2025-09-05,80.5,0.3081,33.87,False,True,False,0.081
NEWA B,New Wave,,2025-09-05,109.3,0.3066,72.99,False,False,False,0.0
PHI,Phase Holographic,,2025-09-05,1.175,0.3,49.06,False,True,False,0.0
STWK,Stockwik Förvaltning,,2025-09-05,21.2,0.3,48.0,False,True,False,0.0
MSON B,Midsona B,,2025-09-05,8.1,0.3,47.76,False,True,False,0.0
BRAIN,BrainCool,,2025-09-05,0.945,0.3,45.77,False,True,False,0.0
SINT,SinterCast,,2025-09-05,109.0,0.3,38.0,False,True,False,0.0
KNOW,KnowIT,,2025-09-05,108.6,0.3,34.69,False,True,False,0.0
MTG B,Modern Times Group B,,2025-09-05,102.4,0.292,56.9,False,False,True,0.0
ABB,ABB,,2025-09-05,647.2,0.2889,56.67,False,False,True,0.0
EMART,EmbeddedArt,,2025-09-05,18.6,0.2764,70.73,False,False,False,0.0
UTG,Unlimited Travel Group,,2025-09-05,19.6,0.2667,70.0,False,False,False,0.0
SAXG,Saxlund,,2025-09-05,10.15,0.2613,69.6,False,False,False,0.0
TEL2 B,Tele2 B,,2025-09-05,166.85,0.2611,69.58,False,False,False,0.0
CLA B,Cloetta,,2025-09-05,33.18,0.2525,68.94,False,False,False,0.0
BOL,Boliden,,2025-09-05,333.1,0.2436,68.27,False,False,False,0.0
SBOK,ScandBook,,2025-09-05,42.6,0.2328,56.16,True,False,False,1.506
SNX,Premium Snacks,,2025-09-05,40.9,0.23,67.25,False,False,False,0.0
DEX,DexTech Medical,,2025-09-05,9.6,0.2188,66.41,False,False,False,0.0
TIETOS,TietoEVRY,,2025-09-05,176.0,0.2183,66.38,False,False,False,0.0
NAXS,NAXS,,2025-09-05,69.2,0.2069,65.52,False,False,False,0.0
SVED B,Svedbergs,,2025-09-05,57.8,0.2059,65.44,False,False,False,0.0
ERIC B,Ericsson B,,2025-09-05,75.38,0.2052,61.63,False,False,False,0.5
BORG,Björn Borg,,2025-09-05,61.5,0.2016,65.12,False,False,False,0.0
QBNK,QBank,,2025-09-05,7.55,0.2,46.55,False,False,False,2.0
EWRK,eWork,,2025-09-05,112.6,0.2,65.0,False,False,False,0.0
CCC,Cavotec,,2025-09-05,15.05,0.2,50.0,False,False,True,0.0
NCC B,NCC B,,2025-09-05,195.3,0.1994,52.31,True,False,False,1.686
HUMBLE,Humble Group,,2025-09-05,8.3,0.1975,64.81,False,False,False,0.0
MAV,Mavshack,,2025-09-05,0.0094,0.1961,64.71,False,False,False,0.0
VIT B,Vitec Software,,2025-09-05,347.8,0.1883,29.66,False,False,False,1.883
SKF B,SKF B,,2025-09-05,238.8,0.1775,57.33,False,False,False,0.798
