Date,Equity
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-16,100000.0
2024-09-17,100000.0
2024-09-18,100000.0
2024-09-19,100000.0
2024-09-20,100000.0
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100000.0
2024-10-08,100000.0
2024-10-09,100000.0
2024-10-10,100000.0
2024-10-11,100000.0
2024-10-14,100000.0
2024-10-15,100000.0
2024-10-16,100000.0
2024-10-17,100000.0
2024-10-18,100000.0
2024-10-21,100000.0
2024-10-22,100000.0
2024-10-23,100000.0
2024-10-24,100000.0
2024-10-25,100000.0
2024-10-28,100000.0
2024-10-29,100000.0
2024-10-30,100000.0
2024-10-31,100000.0
2024-11-01,100000.0
2024-11-04,100000.0
2024-11-05,100000.0
2024-11-06,100000.0
2024-11-07,100000.0
2024-11-08,100000.0
2024-11-11,98214.28571428571
2024-11-12,98214.28571428571
2024-11-13,98214.28571428571
2024-11-14,98214.28571428571
2024-11-15,98214.28571428571
2024-11-18,98214.28571428571
2024-11-19,98214.28571428571
2024-11-20,98214.28571428571
2024-11-21,98214.28571428571
2024-11-22,98214.28571428571
2024-11-25,98214.28571428571
2024-11-26,98214.28571428571
2024-11-27,98214.28571428571
2024-11-28,98214.28571428571
2024-11-29,98214.28571428571
2024-12-02,98214.28571428571
2024-12-03,98214.28571428571
2024-12-04,98214.28571428571
2024-12-05,98214.28571428571
2024-12-06,98214.28571428571
2024-12-09,98214.28571428571
2024-12-10,98214.28571428571
2024-12-11,98214.28571428571
2024-12-12,98214.28571428571
2024-12-13,98214.28571428571
2024-12-16,98214.28571428571
2024-12-17,98214.28571428571
2024-12-18,98214.28571428571
2024-12-19,98214.28571428571
2024-12-20,98214.28571428571
2024-12-23,98214.28571428571
2024-12-27,98214.28571428571
2024-12-30,98214.28571428571
2025-01-02,98214.28571428571
2025-01-03,98214.28571428571
2025-01-07,98214.28571428571
2025-01-08,98214.28571428571
2025-01-09,98214.28571428571
2025-01-10,98214.28571428571
2025-01-13,98214.28571428571
2025-01-14,98214.28571428571
2025-01-15,98214.28571428571
2025-01-16,98214.28571428571
2025-01-17,98214.28571428571
2025-01-20,98214.28571428571
2025-01-21,98214.28571428571
2025-01-22,97976.47872708403
2025-01-23,99165.51366309232
2025-01-24,98825.78939566138
2025-01-27,99199.48608983544
2025-01-28,99878.93462469731
2025-01-29,105654.24717102335
2025-01-30,106707.39240005928
2025-01-31,101373.72140139346
2025-02-03,104635.07436873052
2025-02-04,103649.8739931808
2025-02-05,104227.4052478134
2025-02-06,105484.38503730787
2025-02-07,105959.99901171119
2025-02-10,106197.80599891287
2025-02-11,107692.59277560901
2025-02-12,108372.0413104709
2025-02-13,110580.24904877204
2025-02-14,111123.80787666155
2025-02-17,112584.62222661459
2025-02-18,113943.51929633836
2025-02-19,113943.51929633836
2025-02-20,113943.51929633836
2025-02-21,113943.51929633836
2025-02-24,113943.51929633836
2025-02-25,113943.51929633836
2025-02-26,113943.51929633836
2025-02-27,113943.51929633836
2025-02-28,113943.51929633836
2025-03-03,113943.51929633836
2025-03-04,113943.51929633836
2025-03-05,113943.51929633836
2025-03-06,113943.51929633836
2025-03-07,113943.51929633836
2025-03-10,113943.51929633836
2025-03-11,113943.51929633836
2025-03-12,113943.51929633836
2025-03-13,113943.51929633836
2025-03-14,113943.51929633836
2025-03-17,113943.51929633836
2025-03-18,113943.51929633836
2025-03-19,113943.51929633836
2025-03-20,113943.51929633836
2025-03-21,113943.51929633836
2025-03-24,113943.51929633836
2025-03-25,113943.51929633836
2025-03-26,113943.51929633836
2025-03-27,113943.51929633836
2025-03-28,113943.51929633836
2025-03-31,113943.51929633836
2025-04-01,113943.51929633836
2025-04-02,113943.51929633836
