ticker,entry_date,entry_price,exit_date,exit_price,qty,pnl,ret,exit_reason
VOLV B,2024-09-19,263.9,2024-10-17,257.8,378.9314134141721,-2311.481621826437,-0.023114816218264368,signal
VOLV B,2024-10-18,273.0,2024-11-13,274.4,357.8334006526504,500.96676091370244,0.005128205128205045,signal
VOLV B,2024-11-28,271.7,2024-12-16,274.2,361.3893453775755,903.4733634439388,0.009201324990798676,signal
VOLV B,2025-01-07,283.5,2025-03-04,323.9,349.5342451588402,14121.183504417135,0.14250440917107576,signal
VOLV B,2025-03-06,330.5,2025-03-11,315.7,342.55413617836103,-5069.8012154397475,-0.04478063540090775,signal
VOLV B,2025-04-24,263.1,2025-05-22,269.0,411.03892357091814,2425.1296490684076,0.022424933485366692,signal
VOLV B,2025-05-26,270.1,2025-05-28,266.0,409.36494054267666,-1678.3962562249835,-0.015179563124768687,signal
VOLV B,2025-06-10,269.4,2025-06-16,261.0,404.19849363159614,-3395.2673465053986,-0.031180400890868515,signal
VOLV B,2025-06-27,270.0,2025-07-17,263.0,390.725210510543,-2735.0764735738007,-0.025925925925925925,signal
VOLV B,2025-07-22,274.0,2025-08-01,274.0,375.0391619134044,0.0,0.0,signal
VOLV B,2025-08-06,277.2,2025-09-01,288.1,370.7097054988197,4040.7357899371473,0.039321789321789445,signal
