ticker,entry_date,entry_price,exit_date,exit_price,qty,pnl,ret,exit_reason
VOLV B,2024-02-02,258.4,2024-02-05,255.1,386.99690402476784,-1277.0897832817273,-0.012770897832817273,stop_loss
VOLV B,2024-02-07,259.6,2024-03-12,302.5,380.28856015685,16314.379230728857,0.16525423728813549,take_profit
VOLV B,2024-03-12,302.5,2024-03-28,291.0,380.28856015685,-4373.318441803775,-0.03801652892561983,trailing_stop
VOLV B,2024-07-12,274.1,2024-07-17,276.0,403.73575704357296,767.0979383827795,0.006931776723823339,trailing_stop
VOLV B,2024-07-18,287.2,2024-07-19,283.1,387.99118713101024,-1590.7638672371288,-0.014275766016712974,stop_loss
VOLV B,2024-08-30,272.6,2024-09-03,261.0,402.9358219984923,-4674.05553518252,-0.042553191489361784,stop_loss
VOLV B,2024-10-25,278.4,2024-11-12,276.2,377.7523331235866,-831.0551328718863,-0.007902298850574672,trailing_stop
VOLV B,2025-01-24,290.9,2025-02-03,308.0,358.6634390124944,6133.144807113662,0.05878308697146794,trailing_stop
VOLV B,2025-02-11,317.0,2025-03-04,323.9,348.4805653496791,2404.515900912778,0.021766561514195513,trailing_stop
VOLV B,2025-05-12,276.0,2025-05-22,269.0,408.95961998826465,-2862.7173399178528,-0.025362318840579712,trailing_stop
VOLV B,2025-07-02,272.0,2025-07-04,262.4,404.44903594427643,-3882.710745065063,-0.035294117647058906,trailing_stop
VOLV B,2025-07-10,275.9,2025-07-14,269.4,384.6590323732444,-2500.2837104260884,-0.023559260601667274,stop_loss
VOLV B,2025-07-23,289.2,2025-07-25,293.5,358.32345546802225,1540.7908585124997,0.014868603042876941,stop_loss
VOLV B,2025-08-19,295.4,2025-08-29,291.3,356.018734528993,-1459.676811568859,-0.013879485443466372,stop_loss
